Date,Portfolio_Value
2023-02-15,206442.6796418564
2023-02-16,202590.97962218165
2023-02-17,200412.68837025395
2023-02-21,197168.1186578864
2023-02-22,196110.2044388826
2023-02-23,199947.29150487957
2023-02-24,198720.67071203378
2023-02-27,199363.1518361371
2023-02-28,198046.52533804334
2023-03-01,197403.1419416419
2023-03-02,199807.39868675265
2023-03-03,201717.12494377748
2023-03-06,202524.72018447676
2023-03-07,200122.87421338027
2023-03-08,200088.27186383394
2023-03-09,197184.04649064923
2023-03-10,195037.54077045267
2023-03-13,193907.90182806947
2023-03-14,197049.4661398503
2023-03-15,195368.47188633023
2023-03-16,199808.80635619222
2023-03-17,198712.6604326561
2023-03-20,200512.61613206202
2023-03-21,203768.24834697484
2023-03-22,201384.21510732788
2023-03-23,203660.07025582338
2023-03-24,204015.33091425133
2023-03-27,204342.41715086924
2023-03-28,203665.51555156274
2023-03-29,207598.91166197136
2023-03-30,209137.98341178696
2023-03-31,210871.8869278011
2023-04-03,214258.70532780592
2023-04-04,212418.89441205794
2023-04-05,212923.9003912256
2023-04-06,213866.7221980209
2023-04-10,214574.36138217247
2023-04-11,214292.60138794803
2023-04-12,213370.45995533513
2023-04-13,215996.10032957842
2023-04-14,215580.8046562231
2023-04-17,214308.9190171245
2023-04-18,214654.8527186561
2023-04-19,213686.80595573777
2023-04-20,211909.76212710227
2023-04-21,212397.24852844945
2023-04-24,212309.53543902165
2023-04-25,208689.65052727103
2023-04-26,208848.25663174887
2023-04-27,212418.96356968078
2023-04-28,214778.3901485506
2023-05-01,213577.78810325434
2023-05-02,209609.01909022318
2023-05-03,207966.82383685396
2023-05-04,207217.62691800893
2023-05-05,210906.14071507665
2023-05-08,211920.72553399514
2023-05-09,210427.20193419183
2023-05-10,211703.91152608098
2023-05-11,212455.1985533201
2023-05-12,212543.7880103196
2023-05-15,213628.6984102703
2023-05-16,212376.49134426223
2023-05-17,214768.39744225272
2023-05-18,218378.34026039194
2023-05-19,218191.47303090082
2023-05-22,217798.37340065665
2023-05-23,216084.61149529763
2023-05-24,215856.73668855111
2023-05-25,218776.35753371846
2023-05-26,222212.24191004576
2023-05-30,221407.50316030643
2023-05-31,218700.8409045861
2023-06-01,221507.87241816698
2023-06-02,223093.91866406804
2023-06-05,223108.76588442377
2023-06-06,223451.47909701828
2023-06-07,222560.78577027618
2023-06-08,223117.59961753804
2023-06-09,223379.13921262906
2023-06-12,224218.85529265789
2023-06-13,226005.31933829637
2023-06-14,226981.98220951753
2023-06-15,229265.9122054198
2023-06-16,227276.1981632013
2023-06-20,225521.1973567733
2023-06-21,224576.42798644406
2023-06-22,225625.4163292847
2023-06-23,223772.43648951306
2023-06-26,222783.68311529228
2023-06-27,224632.1017702236
2023-06-28,225508.182261026
2023-06-29,225114.9355923701
2023-06-30,227396.58755385884
2023-07-03,227249.83680853635
2023-07-05,226829.79105408915
2023-07-06,223722.72284312843
2023-07-07,223215.30253827505
2023-07-10,222841.99767160183
2023-07-11,224097.63697262187
2023-07-12,225410.1987539176
2023-07-13,227712.91920449317
2023-07-14,225064.71013624477
2023-07-17,224185.19523499266
2023-07-18,225954.6147435239
2023-07-19,227220.05138261183
2023-07-20,225615.94451840708
2023-07-21,226438.68793512645
2023-07-24,228495.80555297437
2023-07-25,229401.82135272186
2023-07-26,230090.3152632801
2023-07-27,230208.23667917945
2023-07-28,232810.3136465642
2023-07-31,234432.64691204618
2023-08-01,233048.84396176782
2023-08-02,229205.77720238338
2023-08-03,229800.29413347374
2023-08-04,229704.1768733905
2023-08-07,231984.39216391937
2023-08-08,231436.5633446
2023-08-09,230236.90766175048
2023-08-10,229921.58599292417
2023-08-11,230256.2497062874
2023-08-14,232523.26312903693
2023-08-15,229288.6835857678
2023-08-16,227899.9000461945
2023-08-17,228173.30681994042
2023-08-18,228867.4463655241
2023-08-21,230594.76295252756
2023-08-22,230111.289540127
2023-08-23,232609.6522001861
